transaction_id,store_id,product_id,price,timestamp
TXN_0,LIV_03,1051,-10.0,2024-01-01 00:00:00
TXN_1,LDN_01,1080,-10.0,2024-01-01 01:00:00
TXN_2,LIV_03,1012,-10.0,2024-01-01 02:00:00
TXN_3,MAN_02,1060,-10.0,2024-01-01 03:00:00
TXN_4,LIV_03,1034,-10.0,2024-01-01 04:00:00
TXN_5,LDN_01,1032,-10.0,2024-01-01 05:00:00
TXN_6,MAN_02,1048,48.748465381120326,2024-01-01 06:00:00
TXN_7,LIV_03,1083,35.633973359790446,2024-01-01 07:00:00
TXN_8,LIV_03,1061,4.259016139408478,2024-01-01 08:00:00
TXN_9,LDN_01,1064,34.66497437339373,2024-01-01 09:00:00
,LIV_03,1063,27.52962666147858,2024-01-01 10:00:00
,LDN_01,1010,44.34460490986062,2024-01-01 11:00:00
,LDN_01,1033,9.754650175062949,2024-01-01 12:00:00
,MAN_02,1001,7.828962722345264,2024-01-01 13:00:00
,MAN_02,1067,28.274859576475993,2024-01-01 14:00:00
,LDN_01,1006,7.087057936531086,2024-01-01 15:00:00
TXN_16,LIV_03,1001,15.163105360433496,2024-01-01 16:00:00
TXN_17,MAN_02,1087,39.978992831777894,2024-01-01 17:00:00
TXN_18,LIV_03,1030,17.810062554567327,2024-01-01 18:00:00
TXN_19,LIV_03,1080,21.776441360497298,2024-01-01 19:00:00
TXN_20,LIV_03,1041,,2024-01-01 20:00:00
TXN_21,LIV_03,1017,,2024-01-01 21:00:00
TXN_22,LDN_01,1084,,2024-01-01 22:00:00
TXN_23,MAN_02,1053,15.946314875659018,2024-01-01 23:00:00
TXN_24,LIV_03,1034,43.84813973937377,2024-01-02 00:00:00
TXN_25,MAN_02,1079,2.7125198495022187,2024-01-02 01:00:00
TXN_26,LIV_03,1053,38.79888157157501,2024-01-02 02:00:00
TXN_27,MAN_02,1096,15.4020314629386,2024-01-02 03:00:00
TXN_28,LIV_03,1065,7.612120855305882,2024-01-02 04:00:00
TXN_29,LDN_01,1093,45.09448155068002,2024-01-02 05:00:00
TXN_30,MAN_02,1032,21.941768687727166,2024-01-02 06:00:00
TXN_31,LIV_03,1066,22.182130906699875,2024-01-02 07:00:00
TXN_32,MAN_02,1053,13.734960539742755,2024-01-02 08:00:00
TXN_33,LDN_01,1099,30.779921553877752,2024-01-02 09:00:00
TXN_34,LIV_03,1082,43.24185875170099,2024-01-02 10:00:00
TXN_35,LIV_03,1059,35.02225230791713,2024-01-02 11:00:00
TXN_36,LDN_01,1051,41.88832528019345,2024-01-02 12:00:00
TXN_37,MAN_02,1073,29.0392597292281,2024-01-02 13:00:00
TXN_38,LDN_01,1080,6.088883652526162,2024-01-02 14:00:00
TXN_39,MAN_02,1030,29.371231904310463,2024-01-02 15:00:00
TXN_40,LDN_01,1010,19.484802752680643,2024-01-02 16:00:00
TXN_41,LIV_03,1040,40.78665820197665,2024-01-02 17:00:00
TXN_42,MAN_02,1019,44.148802984641755,2024-01-02 18:00:00
TXN_43,MAN_02,1061,6.065026982881087,2024-01-02 19:00:00
TXN_44,MAN_02,1042,42.40698951099874,2024-01-02 20:00:00
TXN_45,MAN_02,1093,32.062620562710705,2024-01-02 21:00:00
TXN_46,LDN_01,1000,8.639524975114833,2024-01-02 22:00:00
TXN_47,MAN_02,1071,31.37766575293522,2024-01-02 23:00:00
TXN_48,LIV_03,1008,30.69940493245443,2024-01-03 00:00:00
TXN_49,LDN_01,1005,27.535946823832333,2024-01-03 01:00:00
TXN_50,LIV_03,1082,21.59391730806123,2024-01-03 02:00:00
TXN_51,MAN_02,1076,24.521003912005988,2024-01-03 03:00:00
TXN_52,LDN_01,1076,14.70331110574196,2024-01-03 04:00:00
TXN_53,LIV_03,1049,18.09902921823728,2024-01-03 05:00:00
TXN_54,LIV_03,1046,33.15766890066671,2024-01-03 06:00:00
TXN_55,LIV_03,1033,30.121793818648257,2024-01-03 07:00:00
TXN_56,LDN_01,1083,27.603367655688,2024-01-03 08:00:00
TXN_57,LDN_01,1048,22.441510000294215,2024-01-03 09:00:00
TXN_58,MAN_02,1081,33.20733278888588,2024-01-03 10:00:00
TXN_59,LDN_01,1044,42.98594153348927,2024-01-03 11:00:00
TXN_60,MAN_02,1086,46.68166027173778,2024-01-03 12:00:00
TXN_61,LIV_03,1065,9.978665233088964,2024-01-03 13:00:00
TXN_62,MAN_02,1067,48.38805911152682,2024-01-03 14:00:00
TXN_63,LIV_03,1036,28.109922724236533,2024-01-03 15:00:00
TXN_64,LIV_03,1089,44.49503688914551,2024-01-03 16:00:00
TXN_65,LDN_01,1038,18.845289000133143,2024-01-03 17:00:00
TXN_66,LIV_03,1000,2.7132118429105434,2024-01-03 18:00:00
TXN_67,LDN_01,1051,29.54102333813554,2024-01-03 19:00:00
TXN_68,MAN_02,1027,4.816551251052687,2024-01-03 20:00:00
TXN_69,LIV_03,1027,22.12227217762577,2024-01-03 21:00:00
TXN_70,LIV_03,1045,6.447055160053611,2024-01-03 22:00:00
TXN_71,MAN_02,1016,7.689097522543477,2024-01-03 23:00:00
TXN_72,LIV_03,1021,5.557081103507276,2024-01-04 00:00:00
TXN_73,LDN_01,1011,23.093780241771874,2024-01-04 01:00:00
TXN_74,LIV_03,1077,6.081487383020013,2024-01-04 02:00:00
TXN_75,LDN_01,1086,33.09890453802078,2024-01-04 03:00:00
TXN_76,LDN_01,1002,20.441175887053888,2024-01-04 04:00:00
TXN_77,LIV_03,1070,18.31317277943687,2024-01-04 05:00:00
TXN_78,LIV_03,1089,23.86109387614823,2024-01-04 06:00:00
TXN_79,MAN_02,1087,6.507851372022447,2024-01-04 07:00:00
TXN_80,LDN_01,1067,34.956693281881904,2024-01-04 08:00:00
TXN_81,MAN_02,1043,23.373773317359188,2024-01-04 09:00:00
TXN_82,MAN_02,1054,27.699046890104512,2024-01-04 10:00:00
TXN_83,LDN_01,1024,35.2128585047291,2024-01-04 11:00:00
TXN_84,LIV_03,1057,46.499462818641675,2024-01-04 12:00:00
TXN_85,MAN_02,1044,16.221538199463847,2024-01-04 13:00:00
TXN_86,LIV_03,1083,48.05556279048162,2024-01-04 14:00:00
TXN_87,LDN_01,1014,8.958830403512408,2024-01-04 15:00:00
TXN_88,MAN_02,1069,13.600888013853686,2024-01-04 16:00:00
TXN_89,LDN_01,1048,13.667625446995812,2024-01-04 17:00:00
TXN_90,LIV_03,1070,9.894127366167226,2024-01-04 18:00:00
TXN_91,LDN_01,1026,4.382352020924058,2024-01-04 19:00:00
TXN_92,MAN_02,1019,4.161915618596579,2024-01-04 20:00:00
TXN_93,LDN_01,1086,41.57646659930473,2024-01-04 21:00:00
TXN_94,LIV_03,1080,5.893839750913344,2024-01-04 22:00:00
TXN_95,MAN_02,1017,24.283530175775134,2024-01-04 23:00:00
TXN_96,LDN_01,1031,25.062725342065736,2024-01-05 00:00:00
TXN_97,MAN_02,1092,10.009476029823903,2024-01-05 01:00:00
TXN_98,LIV_03,1080,6.499206013506494,2024-01-05 02:00:00
TXN_99,LDN_01,1023,38.00677255076853,2024-01-05 03:00:00
